HV-Interlock	V-Program	V-MONITOR	REFERENCE	TEST
5.00000	0.48000	0.42525	10.01857	5.07327
5.00000	0.48000	0.48086	10.01857	5.07327
5.00000	0.48000	0.48591	10.02364	5.07327
5.00000	0.48000	0.49602	10.02364	5.07327
5.00000	0.48000	0.49602	10.02364	5.07327
5.00000	0.48000	0.48591	10.01857	5.07327
5.00000	0.48000	0.48591	10.02364	5.07833
5.00000	0.48000	0.48591	10.02364	5.07327
5.00000	0.48000	0.49097	10.01857	5.07327
5.00000	0.48000	0.48591	10.01857	5.07327
